vlan,name,network,nat,predio
20,REDE-LIGADA,143.107.8.0/26,Não configurado,none
119,Wifi Gerência,143.107.79.84/30,172.19.0.0/16,all
1040,SERVIDORES,143.107.72.176/28,10.40.0.0/22,adm
1064,sti,143.107.8.64/30,10.64.0.0/22,adm
1068,SWITCHES,143.107.8.68/30,10.68.0.0/22,all
1072,ACCESSPOINT,143.107.8.72/30,10.72.0.0/22,none
1076,NOBREAKS,143.107.8.76/30,10.76.0.0/22,gh
1080,PRINTERS,143.107.8.80/30,10.80.0.0/22,letras
1084,TVS,143.107.8.84/30,10.84.0.0/22,fcs
1088,CAMERAS,143.107.8.88/30,10.88.0.0/22,ccj
1092,FECHADURAS,143.107.8.92/30,10.92.0.0/22,adm
1096,PROJETORES,143.107.8.96/30,10.96.0.0/22,gh
1100,ALARMES,143.107.8.100/30,10.100.0.0/22,letras
1104,EDUROAM,143.107.8.104/30,10.104.0.0/14,fcs
1108,FFLCHNET,143.107.8.108/30,10.108.0.0/22,ccj
1112,LIVRE1112,143.107.8.112/30,10.112.0.0/22,adm
1116,DIRETORIA,143.107.8.116/30,10.116.0.0/22,none
1120,FINANCEIRO,143.107.8.120/30,10.120.0.0/22,all
1124,ACADEMICO,143.107.8.124/30,10.124.0.0/22,none
1128,ADMINISTRATIVO,143.107.8.128/30,10.128.0.0/22,none
1132,DTLLC,143.107.8.132/30,10.132.0.0/22,none
1136,DLM,143.107.8.136/30,10.136.0.0/22,none
1140,DLO,143.107.8.140/30,10.140.0.0/22,none
1144,DLCV,143.107.8.144/30,10.144.0.0/22,none
1148,DL,143.107.8.148/30,10.148.0.0/22,none
1152,DA,143.107.8.152/30,10.152.0.0/22,none
1156,DS,143.107.8.156/30,10.156.0.0/22,none
1160,DF,143.107.8.160/30,10.160.0.0/22,none
1164,DCP,143.107.8.164/30,10.164.0.0/22,none
1168,DH,143.107.8.168/30,10.168.0.0/22,none
1172,DG,143.107.8.172/30,10.172.0.0/22,none
1176,CCJ,143.107.8.176/30,10.176.0.0/22,none
1180,CENTROSINTERDEPARTAMENTAIS,143.107.8.180/30,10.180.0.0/19,none
1184,SALASDECOMPUTADORES,143.107.8.184/30,10.184.0.0/22,none
1188,PROALUNO,143.107.8.188/30,10.188.0.0/22,none
1192,LIVRE1192,143.107.8.192/30,10.192.0.0/22,none
1196,LIVRE1196,143.107.8.196/30,10.196.0.0/22,none
1200,LIVRE1200,143.107.8.200/30,10.200.0.0/22,none
1204,LIVRE1204,143.107.8.204/30,10.204.0.0/22,none
1208,LIVRE1208,143.107.8.208/30,10.208.0.0/22,none
1212,LIVRE1212,143.107.8.212/30,10.212.0.0/22,none
1216,LIVRE1216,143.107.8.216/30,10.216.0.0/22,none
1220,LIVRE1220,143.107.8.220/30,10.220.0.0/22,none
1224,LIVRE1224,143.107.8.224/30,10.224.0.0/22,none
1228,LIVRE1228,143.107.8.228/30,10.228.0.0/22,none
1232,LIVRE1232,143.107.8.232/30,10.232.0.0/22,none
1236,LIVRE1236,143.107.8.236/30,10.236.0.0/22,none
1240,LIVRE1240,143.107.8.240/30,10.240.0.0/22,none
1244,LIVRE1244,143.107.8.244/30,10.244.0.0/22,none
1248,EXTERNOS,143.107.8.248/30,10.248.0.0/22,none
1252,REDE-LIGACAO-SWITCH-FIREWALL,143.107.8.252/30,Interface de saída do NAT,none
