sigla,significado
dev,Sistemas
bib,Bibliotecas
pro,Provisionamento
hos,Hosts
vms,VMs
cht,Chamado Técnico
pas,Camada 1
rat,Camada 2
rsf,Rede Sem fio
cor,Drupal Core
mod,Módulos
dup,Suporte (Drupal)
imp,Impressoras
per,Permissões
iot,Internet das Coisas
doc,Documentação
adm,Administração
sti,Superintendência de Tecnologia da Informação
com,Compras
cci,Infraestrutura para Pesquisa
ccd,Acompanhamento de Desenvolvimento
ccs,Suporte Tecnológico
coi,Centro Observatório das Instituições Brasileiras
abc,Agência de Bibliotecas e Coleções Digitais
prc,Pró-Reitoria de Cultura e Extensão Universitária
fed,fediverso
